,monthly_performance,spy_benchmark,performance_monthly,benchmark_monthly
2017-05-31,96290.80494689941,101096.09971618652,,
2017-06-30,95275.4613494873,101740.57221984863,-1.0544554051365895,0.6374850320352454
2017-07-31,95999.16662979126,103831.77366638184,0.7595925226216105,2.055425285022361
2017-08-31,93279.71483230591,104134.72735595703,-2.832786880299254,0.2917735861361681
2017-09-29,95179.68741607666,106232.98944091797,2.036855051697395,2.014949420080181
2017-10-31,94392.09764099121,108736.24726867676,-0.8274767405386685,2.3563846230186147
2017-11-30,95895.68338775635,112059.88108825684,1.5929148565845486,3.0566015501415134
2017-12-29,98861.8650894165,113418.94387817383,3.0931337020315475,1.2128004926639235
2018-01-31,103760.91226577759,119811.13391113281,4.955446846901079,5.635910381800935
2018-02-28,96100.8427772522,115454.7406463623,-7.382423035087204,-3.6360504425254514
2018-03-29,91998.89087295532,112290.07441711426,-4.268382862993825,-2.741044855785879
2018-04-30,93116.40972518921,112870.40934753418,1.2147090488048518,0.5168176559080306
2018-05-31,95430.9914970398,115614.18307495117,2.4856862272520264,2.430906154480894
2018-06-29,95086.7949180603,116279.05297851562,-0.3606758911125496,0.5750764187240076
2018-07-31,96935.5400428772,120586.78564453125,1.9442711539599422,3.70465062766856
2018-08-31,102231.0594215393,124435.9208984375,5.462928639299647,3.1920041929410337
2018-09-28,102162.75355911255,125175.7601928711,-0.06681517614437471,0.5945544414280857
2018-10-31,93563.80936813354,116525.56973266602,-8.416907230288729,-6.910435732027387
2018-11-30,93563.80936813354,118687.04724121094,0.0,1.854938374044246
2018-12-31,84440.64945220947,108236.82752990723,-9.750735864150572,-8.80485272336875
2019-01-31,84440.64945220947,116902.86657714844,0.0,8.006553079030954
2019-02-28,86468.87651824951,120692.3511352539,2.4019557869316754,3.241566840112209
2019-03-29,86634.87775802612,122876.97872924805,0.19197802314636636,1.8100795729349306
2019-04-30,86984.01509475708,127896.78985595703,0.4029985910595002,4.0852331971555245
2019-05-31,79914.3162574768,119740.67892456055,-8.127583935483795,-6.377103710407628
2019-06-28,82627.27633285522,128072.9892578125,3.3948361225259127,6.958629605316924
2019-07-31,84030.21279525757,130009.39343261719,1.6979096064485555,1.5119536024154723
2019-08-30,84255.57456588745,127832.58346557617,0.2681913601468411,-1.674348221745403
2019-09-30,85271.17246627808,130319.95141601562,1.205377692364351,1.9458012057694818
2019-10-31,85428.60526657104,133200.62307739258,0.18462605325995085,2.2104609693883948
2019-11-29,84076.89323043823,138022.24084472656,-1.582270987469525,3.6198162260341116
2019-12-31,86625.87210464478,142032.54583740234,3.031723433476885,2.9055498361219456
2020-01-31,87224.95161437988,141975.1936340332,0.6915711151645576,-0.040379620762975854
2020-02-28,79791.19020080566,130735.60693359375,-8.522517096299186,-7.916584871446997
2020-03-31,79791.19020080566,114410.49562072754,0.0,-12.487119382218836
2020-04-30,79791.19020080566,128938.75015258789,0.0,12.698358182121439
2020-05-29,83963.34864807129,135082.0698852539,5.2288459875906135,4.764525579312595
2020-06-30,85630.06620788574,137477.66329956055,1.9850537009909353,1.7734355243013367
2020-07-31,91127.67755889893,145574.0271911621,6.4201881353992185,5.889221344968432
2020-08-31,100945.16761016846,155734.6162109375,10.773335076957435,6.979671591026948
2020-09-30,96985.1347579956,149903.35467529297,-3.92295435821729,-3.7443579838064234
2020-10-30,93183.76807403564,146165.7169494629,-3.919535394207996,-2.4933649643306577
2020-11-30,103158.85717010498,162065.17361450195,10.704749659988,10.877692113354009
2020-12-31,106423.06037521362,168069.4139099121,3.1642490956700797,3.704830693417338
2021-01-29,105007.64800643921,166356.72048950195,-1.329986530911742,-1.0190393246258256
2021-02-26,105426.09170150757,170982.34704589844,0.39848877963888363,2.7805468530430533
2021-03-31,109260.47805023193,178744.8239440918,3.6370373660257194,4.539928847806496
2021-04-30,113226.33438491821,188202.2944946289,3.6297263250697043,5.291045828267027
2021-05-28,119135.86952590942,189438.04385375977,5.219223224962377,0.6566069571304345
